codecommune,codedep,election_type,Year,far_right_relvotes,far_right_votes,turnout,incumbents_relvotes,incumbents_votes,greens_relvotes,greens_votes,right_relvotes,right_votes,socialists_relvotes,socialists_votes
1001,1,E,2024,0.428184281842818,158,0.557401812688822,0.143631436314363,53,0.0569105691056911,21,0.0650406504065041,24,0.0731707317073171,27
1002,1,E,2024,0.2,30,0.657894736842105,0.146666666666667,22,0.133333333333333,20,0.06,9,0.12,18
1004,1,E,2024,0.345398366806444,1565,0.520326136885623,0.108364599426175,491,0.0478922975060693,217,0.06488633855661,294,0.12425513131759,563
1005,1,E,2024,0.47562582345191,361,0.568965517241379,0.146245059288538,111,0.0316205533596838,24,0.0606060606060606,46,0.0909090909090909,69
1006,1,E,2024,0.369230769230769,24,0.643564356435644,0.230769230769231,15,0.0461538461538462,3,0.0769230769230769,5,0.138461538461538,9
1007,1,E,2024,0.416385135135135,493,0.571152918475639,0.118243243243243,140,0.0548986486486487,65,0.0701013513513514,83,0.131756756756757,156
1008,1,E,2024,0.431137724550898,144,0.589065255731922,0.116766467065868,39,0.0419161676646707,14,0.0598802395209581,20,0.119760479041916,40
1009,1,E,2024,0.361963190184049,59,0.56993006993007,0.141104294478528,23,0.0184049079754601,3,0.0920245398773006,15,0.171779141104294,28
1010,1,E,2024,0.462469733656174,191,0.500606060606061,0.135593220338983,56,0.0435835351089588,18,0.0217917675544794,9,0.0847457627118644,35
1011,1,E,2024,0.485714285714286,85,0.593220338983051,0.0628571428571429,11,0.0857142857142857,15,0.0342857142857143,6,0.102857142857143,18
1012,1,E,2024,0.333333333333333,59,0.59,0.11864406779661,21,0.0169491525423729,3,0.0564971751412429,10,0.152542372881356,27
1013,1,E,2024,0.395604395604396,36,0.728,0.10989010989011,10,0.032967032967033,3,0.021978021978022,2,0.054945054945055,5
1014,1,E,2024,0.387423935091278,382,0.435704816615113,0.128803245436105,127,0.0182555780933063,18,0.0689655172413793,68,0.108519269776876,107
1015,1,E,2024,0.339506172839506,110,0.576512455516014,0.141975308641975,46,0.0462962962962963,15,0.0802469135802469,26,0.160493827160494,52
1016,1,E,2024,0.453038674033149,82,0.545180722891566,0.0773480662983425,14,0.0220994475138122,4,0.0994475138121547,18,0.0883977900552486,16
1017,1,E,2024,0.415525114155251,91,0.671779141104295,0.091324200913242,20,0.0273972602739726,6,0.0091324200913242,2,0.0867579908675799,19
1019,1,E,2024,0.307692307692308,8,0.702702702702703,0.153846153846154,4,0.0384615384615385,1,0,0,0.192307692307692,5
1021,1,E,2024,0.322962962962963,218,0.620404411764706,0.177777777777778,120,0.0577777777777778,39,0.124444444444444,84,0.08,54
1022,1,E,2024,0.445833333333333,214,0.536312849162011,0.1,48,0.0375,18,0.0520833333333333,25,0.0916666666666667,44
1023,1,E,2024,0.468085106382979,22,0.770491803278689,0.0638297872340426,3,0.106382978723404,5,0.0638297872340426,3,0.106382978723404,5
1024,1,E,2024,0.415574402467232,539,0.522773075372834,0.148804934464148,193,0.0354664610639938,46,0.0886661526599846,115,0.109483423284503,142
1025,1,E,2024,0.42969696969697,709,0.521656655074297,0.146666666666667,242,0.0327272727272727,54,0.0818181818181818,135,0.10969696969697,181
